Nom du joueur;Poste;Arrêts;Nombre de but;Minutes jouées;Nombre de passes décisives;Carton rouge;Carton jaune
Antoine Griezmann;Attaquant;0;4;521;2;;0
Thomas Lemar;Attaquant;0;0;90;0;;0
Olivier Giroud;Attaquant;0;0;596;2;;1
Kylian Mbappé;Attaquant;0;4;534;0;;2
Ousmane Dembélé;Attaquant;0;0;165;0;;0
Nabil Fekir;Attaquant;0;0;69;0;;0
Florian Thauvin;Attaquant;0;0;1;0;;0
Benjamin Pavard;Défenseur;0;1;540;0;;1
Presnel Kimpembe;Défenseur;0;0;90;0;;0
Raphaël Varane;Défenseur;0;1;630;0;;0
Samuel Umtiti;Défenseur;0;1;540;0;;0
Adil Rami;Défenseur;0;0;;0;;0
Lucas Hernandez;Défenseur;0;0;590;2;;2
Benjamin Mendy;Défenseur;0;0;40;0;;0
Djibril Sidibé;Défenseur;0;0;90;0;;0
Steve Mandanda;Gardien de but;2;0;;0;;0
Hugo Lloris;Gardien de but;13;0;;0;;0
Alfonse Areola;Gardien de but;0;0;;0;;0
Paul Pogba;Milieu de terrain;0;1;539;0;;1
Corentin Tolisso;Milieu de terrain;0;0;194;1;;1
N'Golo Kanté;Milieu de terrain;0;0;595;0;;2
Blaise Matuidi;Milieu de terrain;0;0;246;0;;2
Steven Nzonzi;Milieu de terrain;0;0;151;0;;0
